talker,dialog
0,축하합니다! 당신은 수 많은 시민들을 불 속에서 구출하여 공로를 인정받았습니다.
0,올해 최고의 소방관에 선정된 당신은 승진이 예정되었습니다.
1,당신은 PTSD 급성기에 해당합니다.
1,시민들을 구출하다가 화재에 큰 화상을 입어 병원에 입원했습니다.
1,물리적으로 큰 부상을 입었으나` 정신적으로는 다행히 평정심을 유지하고 있습니다.
2,당신은 PTSD 아급성기에 해당합니다.
2,항상 커다란 근심 때문에 우울증에 빠져들게 됩니다.
2,행복해 보이는 주변 사람들과의 괴리감과 고통스러운 기억때문에 항상 불안해합니다.
3,당신은 PTSD 만성기에 해당합니다.
3,극심한 고통, 트라우마, 불안, 분노, 두려움, 수치심이 극에 달합니다.
3,당신은 삶을 살아가며 모든 일이 불행이라고 생각합니다.
4,당신의 피로도가 100%를 넘었습니다.
4,사람들을 구하지 못했다는 죄책감과 화재 현장의 두려움으로 인해 더 이상 게임을 진행할 수 없습니다.
4,당신은 더 이상 자신의 삶의 무게를 버티지 못한다고 생각했습니다.
4,많은 양의 수면제를 한 번에 먹었습니다.
